央视频道,#genre#
兰陵公共,http://150.138.8.143/00/SNM/CHANNEL00001095/index.m3u8
沂水TV1,http://150.138.8.143/00/SNM/CHANNEL00001098/index.m3u8
沂水TV2,http://150.138.8.143/00/SNM/CHANNEL00001099/index.m3u8
济宁高新,http://150.138.8.143/00/SNM/CHANNEL00001101/index.m3u8
临清综合,http://150.138.8.143/00/SNM/CHANNEL00001103/index.m3u8
临邑TV1,http://150.138.8.143/00/SNM/CHANNEL00001104/index.m3u8
鱼台综合,http://150.138.8.143/00/SNM/CHANNEL00001107/index.m3u8
鱼台生活,http://150.138.8.143/00/SNM/CHANNEL00001108/index.m3u8
河东综合,http://150.138.8.143/00/SNM/CHANNEL00001109/index.m3u8
任城1,http://150.138.8.143/00/SNM/CHANNEL00001111/index.m3u8
任城2,http://150.138.8.143/00/SNM/CHANNEL00001112/index.m3u8


数字频道,#genre#
中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
CETV1,http://150.138.8.143/00/SNM/CHANNEL00000076/index.m3u8
CETV2,http://150.138.8.143/00/SNM/CHANNEL00000077/index.m3u8
CETV4,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8
求索记录,http://150.138.8.143/00/SNM/CHANNEL00000667/index.m3u8
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000661/index.m3u8
海洋频道,http://150.138.8.143/00/SNM/CHANNEL00000662/index.m3u8
优漫卡通,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8
炫动卡通,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
嘉佳卡通,http://150.138.8.143/00/SNM/CHANNEL00000074/index.m3u8
茶频道,http://150.138.8.143/00/SNM/CHANNEL00000649/index.m3u8
快乐垂钓,http://150.138.8.143/00/SNM/CHANNEL00000648/index.m3u8
梨园频道,http://150.138.8.143/00/SNM/CHANNEL00000656/index.m3u8
武术世界,http://150.138.8.143/00/SNM/CHANNEL00000657/index.m3u8
文物宝库,http://150.138.8.143/00/SNM/CHANNEL00000658/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000671/index.m3u8
汽摩,http://150.138.8.143/00/SNM/CHANNEL00000711/index.m3u8
动漫秀场,http://150.138.8.143/00/SNM/CHANNEL00002000/index.m3u8
法制天地,http://150.138.8.143/00/SNM/CHANNEL00002010/index.m3u8
精彩影视,http://150.138.8.143/00/SNM/CHANNEL00002012/index.m3u8
乐游,http://150.138.8.143/00/SNM/CHANNEL00002016/index.m3u8
金色学堂,http://150.138.8.143/00/SNM/CHANNEL00002018/index.m3u8
生活时尚,http://150.138.8.143/00/SNM/CHANNEL00002019/index.m3u8
魅力足球,http://150.138.8.143/00/SNM/CHANNEL00002021/index.m3u8
都市剧场,http://150.138.8.143/00/SNM/CHANNEL00002022/index.m3u8
游戏风云,http://150.138.8.143/00/SNM/CHANNEL00002024/index.m3u8
东方财经,http://150.138.8.143/00/SNM/CHANNEL00002025/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00002027/index.m3u8
CHC家庭影院,http://150.138.8.143/00/SNM/CHANNEL00002028/index.m3u8
CHC高清电影,http://150.138.8.143/00/SNM/CHANNEL00002029/index.m3u8
CHC动作电影,http://150.138.8.143/00/SNM/CHANNEL00002030/index.m3u8
重温经典影视,http://150.138.8.143/00/SNM/CHANNEL20000003/index.m3u8

广播频道,#genre#
山东经济广播,http://150.138.8.143/00/SNM/CHANNEL00003001/index.m3u8
山东交通广播,http://150.138.8.143/00/SNM/CHANNEL00003002/index.m3u8
